REF_DATE,GEO,Products,UOM,VALUE,Avg_CPI,Avg_CPI_Gas,day,month,year,ProductsUOM,Meat_Category
2017-01-01,Newfoundland and Labrador,Pork shoulder cuts,Dollars,6.01,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Newfoundland and Labrador,Whole chicken,Dollars,5.76,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Newfoundland and Labrador,Chicken breasts,Dollars,12.05,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Newfoundland and Labrador,Chicken thigh,Dollars,8.59,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Newfoundland and Labrador,Chicken drumsticks,Dollars,7.92,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Newfoundland and Labrador,Bacon,Dollars,4.06,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,Prince Edward Island,Beef stewing cuts,Dollars,13.33,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Prince Edward Island,Beef striploin cuts,Dollars,17.08,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Prince Edward Island,Beef top sirloin cuts,Dollars,13.5,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Prince Edward Island,Beef rib cuts,Dollars,22.04,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Prince Edward Island,Ground beef,Dollars,7.95,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Prince Edward Island,Pork loin cuts,Dollars,6.15,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Prince Edward Island,Pork rib cuts,Dollars,5.64,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Prince Edward Island,Pork shoulder cuts,Dollars,4.79,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Prince Edward Island,Whole chicken,Dollars,5.49,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Prince Edward Island,Chicken breasts,Dollars,9.86,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Prince Edward Island,Chicken thigh,Dollars,8.53,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Prince Edward Island,Chicken drumsticks,Dollars,6.61,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Prince Edward Island,Bacon,Dollars,3.94,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,Nova Scotia,Beef stewing cuts,Dollars,13.12,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Nova Scotia,Beef striploin cuts,Dollars,16.23,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Nova Scotia,Beef top sirloin cuts,Dollars,13.79,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Nova Scotia,Beef rib cuts,Dollars,16.76,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Nova Scotia,Ground beef,Dollars,7.88,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Nova Scotia,Pork loin cuts,Dollars,6.11,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Nova Scotia,Pork rib cuts,Dollars,5.8,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Nova Scotia,Pork shoulder cuts,Dollars,4.57,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Nova Scotia,Whole chicken,Dollars,5.31,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Nova Scotia,Chicken breasts,Dollars,10.93,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Nova Scotia,Chicken thigh,Dollars,9.22,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Nova Scotia,Chicken drumsticks,Dollars,6.9,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Nova Scotia,Bacon,Dollars,3.97,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,New Brunswick,Beef stewing cuts,Dollars,13.33,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,New Brunswick,Beef striploin cuts,Dollars,16.2,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,New Brunswick,Beef top sirloin cuts,Dollars,13.74,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,New Brunswick,Beef rib cuts,Dollars,17.67,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,New Brunswick,Ground beef,Dollars,8.11,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,New Brunswick,Pork loin cuts,Dollars,6.02,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,New Brunswick,Pork rib cuts,Dollars,5.81,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,New Brunswick,Pork shoulder cuts,Dollars,4.56,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,New Brunswick,Whole chicken,Dollars,5.3,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,New Brunswick,Chicken breasts,Dollars,10.91,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,New Brunswick,Chicken thigh,Dollars,9.12,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,New Brunswick,Chicken drumsticks,Dollars,6.95,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,New Brunswick,Bacon,Dollars,4.06,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,Quebec,Beef stewing cuts,Dollars,12.2,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Quebec,Beef striploin cuts,Dollars,21.41,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Quebec,Beef top sirloin cuts,Dollars,15.54,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Quebec,Beef rib cuts,Dollars,28.9,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Quebec,Ground beef,Dollars,9.13,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Quebec,Pork loin cuts,Dollars,8.38,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Quebec,Pork rib cuts,Dollars,9.7,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Quebec,Pork shoulder cuts,Dollars,5.94,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Quebec,Whole chicken,Dollars,6.29,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Quebec,Chicken breasts,Dollars,10.9,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Quebec,Chicken thigh,Dollars,10.02,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Quebec,Chicken drumsticks,Dollars,6.41,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Quebec,Bacon,Dollars,5.66,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,Ontario,Beef stewing cuts,Dollars,12.67,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Ontario,Beef striploin cuts,Dollars,25.28,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Ontario,Beef top sirloin cuts,Dollars,12.36,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Ontario,Beef rib cuts,Dollars,22.63,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Ontario,Ground beef,Dollars,10.04,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Ontario,Pork loin cuts,Dollars,7.11,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Ontario,Pork rib cuts,Dollars,6.25,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Ontario,Pork shoulder cuts,Dollars,3.53,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Ontario,Whole chicken,Dollars,4.72,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Ontario,Chicken breasts,Dollars,11.0,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Ontario,Chicken thigh,Dollars,8.2,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Ontario,Chicken drumsticks,Dollars,5.58,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Ontario,Bacon,Dollars,4.8,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,Manitoba,Beef stewing cuts,Dollars,12.38,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Manitoba,Beef striploin cuts,Dollars,20.7,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Manitoba,Beef top sirloin cuts,Dollars,13.68,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Manitoba,Beef rib cuts,Dollars,17.96,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Manitoba,Ground beef,Dollars,8.7,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Manitoba,Pork loin cuts,Dollars,7.17,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Manitoba,Pork rib cuts,Dollars,9.12,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Manitoba,Pork shoulder cuts,Dollars,7.74,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Manitoba,Whole chicken,Dollars,5.49,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Manitoba,Chicken breasts,Dollars,12.35,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Manitoba,Chicken thigh,Dollars,9.16,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Manitoba,Chicken drumsticks,Dollars,5.98,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Manitoba,Bacon,Dollars,5.84,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,Saskatchewan,Beef stewing cuts,Dollars,12.54,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Saskatchewan,Beef striploin cuts,Dollars,20.08,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Saskatchewan,Beef top sirloin cuts,Dollars,12.77,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Saskatchewan,Beef rib cuts,Dollars,17.66,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Saskatchewan,Ground beef,Dollars,8.57,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Saskatchewan,Pork loin cuts,Dollars,7.51,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Saskatchewan,Pork rib cuts,Dollars,9.25,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Saskatchewan,Pork shoulder cuts,Dollars,7.51,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Saskatchewan,Whole chicken,Dollars,5.57,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Saskatchewan,Chicken breasts,Dollars,12.73,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Saskatchewan,Chicken thigh,Dollars,8.99,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Saskatchewan,Chicken drumsticks,Dollars,6.24,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Saskatchewan,Bacon,Dollars,5.73,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,Alberta,Beef stewing cuts,Dollars,12.77,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Alberta,Beef striploin cuts,Dollars,22.92,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Alberta,Beef top sirloin cuts,Dollars,13.79,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Alberta,Beef rib cuts,Dollars,18.34,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Alberta,Ground beef,Dollars,9.08,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Alberta,Pork loin cuts,Dollars,8.22,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Alberta,Pork rib cuts,Dollars,9.32,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Alberta,Pork shoulder cuts,Dollars,7.62,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Alberta,Whole chicken,Dollars,5.68,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Alberta,Chicken breasts,Dollars,12.99,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Alberta,Chicken thigh,Dollars,9.65,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Alberta,Chicken drumsticks,Dollars,6.3,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Alberta,Bacon,Dollars,5.84,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,British Columbia,Beef stewing cuts,Dollars,12.56,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,British Columbia,Beef striploin cuts,Dollars,23.32,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,British Columbia,Beef top sirloin cuts,Dollars,14.33,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,British Columbia,Beef rib cuts,Dollars,18.47,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,British Columbia,Ground beef,Dollars,8.97,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,British Columbia,Pork loin cuts,Dollars,7.82,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,British Columbia,Pork rib cuts,Dollars,9.28,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,British Columbia,Pork shoulder cuts,Dollars,7.49,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,British Columbia,Whole chicken,Dollars,5.82,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,British Columbia,Chicken breasts,Dollars,12.16,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,British Columbia,Chicken thigh,Dollars,9.38,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,British Columbia,Chicken drumsticks,Dollars,5.97,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,British Columbia,Bacon,Dollars,5.74,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-02-01,Canada,Beef stewing cuts,Dollars,13.12,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Canada,Beef striploin cuts,Dollars,22.51,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Canada,Beef top sirloin cuts,Dollars,12.8,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Canada,Beef rib cuts,Dollars,20.13,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Canada,Ground beef,Dollars,9.48,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Canada,Pork loin cuts,Dollars,7.16,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Canada,Pork rib cuts,Dollars,7.28,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Canada,Pork shoulder cuts,Dollars,5.41,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Canada,Whole chicken,Dollars,4.99,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Canada,Chicken breasts,Dollars,11.22,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Canada,Chicken thigh,Dollars,9.15,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Canada,Chicken drumsticks,Dollars,5.95,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Canada,Bacon,Dollars,5.37,1.8,153.7,1,2,2017, 500 grams,Bacon
2017-02-01,Newfoundland and Labrador,Beef stewing cuts,Dollars,14.24,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Newfoundland and Labrador,Beef striploin cuts,Dollars,19.92,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Newfoundland and Labrador,Beef top sirloin cuts,Dollars,9.95,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Newfoundland and Labrador,Beef rib cuts,Dollars,24.87,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Newfoundland and Labrador,Ground beef,Dollars,7.91,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Newfoundland and Labrador,Pork loin cuts,Dollars,6.59,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Newfoundland and Labrador,Pork rib cuts,Dollars,8.35,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Newfoundland and Labrador,Pork shoulder cuts,Dollars,4.77,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Newfoundland and Labrador,Whole chicken,Dollars,4.83,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Newfoundland and Labrador,Chicken breasts,Dollars,11.06,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Newfoundland and Labrador,Chicken thigh,Dollars,7.14,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Newfoundland and Labrador,Chicken drumsticks,Dollars,6.75,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Newfoundland and Labrador,Bacon,Dollars,4.94,1.8,153.7,1,2,2017, 500 grams,Bacon
2017-02-01,Prince Edward Island,Beef stewing cuts,Dollars,13.82,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Prince Edward Island,Beef striploin cuts,Dollars,16.56,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Prince Edward Island,Beef top sirloin cuts,Dollars,10.11,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Prince Edward Island,Beef rib cuts,Dollars,21.98,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Prince Edward Island,Ground beef,Dollars,7.68,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Prince Edward Island,Pork loin cuts,Dollars,5.33,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Prince Edward Island,Pork rib cuts,Dollars,7.71,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Prince Edward Island,Pork shoulder cuts,Dollars,4.12,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Prince Edward Island,Whole chicken,Dollars,4.49,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Prince Edward Island,Chicken breasts,Dollars,10.26,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Prince Edward Island,Chicken thigh,Dollars,7.59,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Prince Edward Island,Chicken drumsticks,Dollars,5.3,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Prince Edward Island,Bacon,Dollars,4.84,1.8,153.7,1,2,2017, 500 grams,Bacon
2017-02-01,Nova Scotia,Beef stewing cuts,Dollars,13.47,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Nova Scotia,Beef striploin cuts,Dollars,18.14,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Nova Scotia,Beef top sirloin cuts,Dollars,10.11,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Nova Scotia,Beef rib cuts,Dollars,22.28,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Nova Scotia,Ground beef,Dollars,7.48,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Nova Scotia,Pork loin cuts,Dollars,5.44,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Nova Scotia,Pork rib cuts,Dollars,7.8,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Nova Scotia,Pork shoulder cuts,Dollars,4.33,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Nova Scotia,Whole chicken,Dollars,4.51,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Nova Scotia,Chicken breasts,Dollars,10.37,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Nova Scotia,Chicken thigh,Dollars,8.91,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Nova Scotia,Chicken drumsticks,Dollars,6.53,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Nova Scotia,Bacon,Dollars,4.95,1.8,153.7,1,2,2017, 500 grams,Bacon
2017-02-01,New Brunswick,Beef stewing cuts,Dollars,13.77,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,New Brunswick,Beef striploin cuts,Dollars,16.85,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,New Brunswick,Beef top sirloin cuts,Dollars,10.16,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,New Brunswick,Beef rib cuts,Dollars,22.38,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,New Brunswick,Ground beef,Dollars,7.82,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,New Brunswick,Pork loin cuts,Dollars,5.44,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,New Brunswick,Pork rib cuts,Dollars,8.15,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,New Brunswick,Pork shoulder cuts,Dollars,4.21,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,New Brunswick,Whole chicken,Dollars,4.33,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,New Brunswick,Chicken breasts,Dollars,10.67,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,New Brunswick,Chicken thigh,Dollars,9.58,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,New Brunswick,Chicken drumsticks,Dollars,7.03,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,New Brunswick,Bacon,Dollars,4.89,1.8,153.7,1,2,2017, 500 grams,Bacon
2017-02-01,Quebec,Beef stewing cuts,Dollars,13.04,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Quebec,Beef striploin cuts,Dollars,24.47,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Quebec,Beef top sirloin cuts,Dollars,16.59,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Quebec,Beef rib cuts,Dollars,29.11,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Quebec,Ground beef,Dollars,11.2,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Quebec,Pork loin cuts,Dollars,8.29,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Quebec,Pork rib cuts,Dollars,8.39,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Quebec,Pork shoulder cuts,Dollars,6.16,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Quebec,Whole chicken,Dollars,4.8,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Quebec,Chicken breasts,Dollars,11.65,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Quebec,Chicken thigh,Dollars,9.03,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Quebec,Chicken drumsticks,Dollars,5.49,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Quebec,Bacon,Dollars,4.96,1.8,153.7,1,2,2017, 500 grams,Bacon
2017-02-01,Ontario,Beef stewing cuts,Dollars,13.63,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Ontario,Beef striploin cuts,Dollars,22.54,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Ontario,Beef top sirloin cuts,Dollars,12.15,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Ontario,Beef rib cuts,Dollars,19.67,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Ontario,Ground beef,Dollars,9.72,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Ontario,Pork loin cuts,Dollars,6.1,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Ontario,Pork rib cuts,Dollars,7.01,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Ontario,Pork shoulder cuts,Dollars,4.54,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Ontario,Whole chicken,Dollars,5.13,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Ontario,Chicken breasts,Dollars,10.29,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Ontario,Chicken thigh,Dollars,9.1,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Ontario,Chicken drumsticks,Dollars,6.36,1.8,153.7,1,2,2017, per kilogram,Chicken
2017-02-01,Ontario,Bacon,Dollars,5.16,1.8,153.7,1,2,2017, 500 grams,Bacon
2017-02-01,Manitoba,Beef stewing cuts,Dollars,12.42,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Manitoba,Beef striploin cuts,Dollars,24.98,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Manitoba,Beef top sirloin cuts,Dollars,14.18,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Manitoba,Beef rib cuts,Dollars,18.97,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Manitoba,Ground beef,Dollars,8.96,1.8,153.7,1,2,2017, per kilogram,Beef
2017-02-01,Manitoba,Pork loin cuts,Dollars,9.66,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Manitoba,Pork rib cuts,Dollars,6.9,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Manitoba,Pork shoulder cuts,Dollars,6.39,1.8,153.7,1,2,2017, per kilogram,Pork
2017-02-01,Manitoba,Whole chicken,Dollars,4.99,1.8,153.7,1,2,2017, per kilogram,Chicken
