Meat_Category,year,month,day,VALUE,Avg_CPI,Avg_CPI_Gas
Pork,2019,4,1,7.983333333333333,1.9,187.1
Pork,2019,5,1,7.573333333333333,2.0,189.2
Pork,2019,6,1,8.043333333333333,2.0,174.1
Pork,2019,7,1,8.406666666666666,2.0,179.9
Pork,2019,8,1,8.616666666666667,1.9,170.9
Pork,2019,9,1,7.56,1.9,169.5
Pork,2019,10,1,7.013333333333333,2.0,170.1
Pork,2019,11,1,7.576666666666665,2.1,166.7
Pork,2019,12,1,7.983333333333333,2.0,165.8
Pork,2020,1,1,7.383333333333333,2.0,166.4
Pork,2020,2,1,6.886666666666667,1.9,163.1
Pork,2020,3,1,8.086666666666666,1.9,134.0
Pork,2020,4,1,8.533333333333333,1.9,113.6
Pork,2020,5,1,7.936666666666667,1.8,132.8
Pork,2020,6,1,8.406666666666666,1.9,146.7
Pork,2020,7,1,7.846666666666667,1.8,153.1
Pork,2020,8,1,7.633333333333333,1.8,151.9
Pork,2020,9,1,7.763333333333333,2.0,151.3
Pork,2020,10,1,7.81,2.1,149.0
Pork,2020,11,1,7.573333333333333,2.0,146.8
Pork,2020,12,1,8.103333333333333,2.0,151.7
Pork,2021,1,1,7.613333333333334,2.1,160.9
Pork,2021,2,1,7.076666666666667,2.0,171.3
Pork,2021,3,1,7.5633333333333335,2.1,181.3
Pork,2021,4,1,8.06,2.2,184.6
Pork,2021,5,1,8.383333333333333,2.4,190.5
Pork,2021,6,1,8.883333333333333,2.5,193.6
Pork,2021,7,1,8.993333333333332,2.8,200.4
Pork,2021,8,1,9.166666666666666,2.9,201.3
Pork,2021,9,1,9.006666666666668,3.0,201.0
Pork,2021,10,1,9.299999999999999,2.9,211.1
Pork,2021,11,1,9.116666666666667,2.9,210.8
Pork,2021,12,1,8.986666666666666,3.3,202.2
Pork,2022,1,1,8.49,3.6,211.9
Pork,2022,2,1,8.096666666666666,3.9,226.6
Pork,2022,3,1,8.49,4.2,253.4
Pork,2022,4,1,9.356666666666667,4.7,251.7
Pork,2022,5,1,9.236666666666666,5.0,281.9
Pork,2022,6,1,9.16,5.1,299.4
Pork,2022,7,1,8.846666666666666,5.3,271.8
Pork,2022,8,1,8.633333333333333,5.1,245.8
Pork,2022,9,1,8.72,5.1,227.6
Pork,2022,10,1,8.123333333333333,5.3,248.6
Pork,2022,11,1,8.046666666666667,5.3,239.6
Pork,2022,12,1,8.496666666666668,5.2,208.3
Pork,2023,1,1,7.6000000000000005,5.1,218.1
Beef,2023,2,1,19.06781944253761,5.1,218.1
Beef,2023,3,1,20.080458898441048,5.1,218.1
Beef,2023,4,1,18.980332525354264,5.1,218.1
Beef,2023,5,1,19.27067099507079,5.1,218.1
Beef,2023,6,1,18.72709745174639,5.1,218.1
Beef,2023,7,1,19.664200053923707,5.1,218.1
Beef,2023,8,1,18.61613250248298,5.1,218.1
Beef,2023,9,1,19.220858003225352,5.1,218.1
Beef,2023,10,1,18.66187227299887,5.1,218.1
Beef,2023,11,1,19.399539588289887,5.1,218.1
Beef,2023,12,1,18.437615268840784,5.1,218.1
Beef,2024,1,1,19.179994035157264,5.1,218.1
Chicken,2023,2,1,9.428432528372033,5.1,218.1
Chicken,2023,3,1,9.426986327587258,5.1,218.1
Chicken,2023,4,1,9.614481196921515,5.1,218.1
Chicken,2023,5,1,9.60650411371432,5.1,218.1
Chicken,2023,6,1,9.381486341176632,5.1,218.1
Chicken,2023,7,1,9.303666367498586,5.1,218.1
Chicken,2023,8,1,9.477118438759769,5.1,218.1
Chicken,2023,9,1,9.53978210244489,5.1,218.1
Chicken,2023,10,1,9.346950451990708,5.1,218.1
Chicken,2023,11,1,9.210127957467082,5.1,218.1
Chicken,2023,12,1,9.344287471273779,5.1,218.1
Chicken,2024,1,1,9.464006964708679,5.1,218.1
Pork,2023,2,1,7.518745864455073,5.1,218.1
Pork,2023,3,1,8.086334750400514,5.1,218.1
Pork,2023,4,1,7.891658678583639,5.1,218.1
Pork,2023,5,1,7.754289153946477,5.1,218.1
Pork,2023,6,1,8.133112619519707,5.1,218.1
Pork,2023,7,1,7.817067278083575,5.1,218.1
Pork,2023,8,1,7.901078501915746,5.1,218.1
Pork,2023,9,1,8.048258781866187,5.1,218.1
Pork,2023,10,1,7.791403102628409,5.1,218.1
Pork,2023,11,1,7.962581803106795,5.1,218.1
Pork,2023,12,1,7.940701661893115,5.1,218.1
Pork,2024,1,1,7.806016161853217,5.1,218.1
